Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID,year,player_id,pa,k_percent,bb_percent,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
josiah gray,25,652,Maj-NL,Washington,30,30,8.0,13.0,,159.0,152,72,69,80,143,22,9,3.91,605,29,1,1,13,4,21,4,4,698,2812,0.61,0.15,0.11,0.38,0.24,0.1,1.459,0.293,8.1,1.79,680686,2023,680686,698,20.5,11.5,0.332,0.342,35.0,9.4,36.7,75.912309009,93.710812694,26.2,46.4
sonny gray,33,650,Maj-AL,Minnesota,32,32,8.0,8.0,,184.0,156,59,57,55,183,8,6,2.79,689,34,3,0,13,3,8,4,4,754,2819,0.64,0.17,0.12,0.48,0.27,0.05,1.147,0.295,9.0,3.33,543243,2023,543243,754,24.3,7.3,0.27,0.296,32.9,6.9,39.2,78.435195138,94.126464752,26.1,47.7
zack greinke,39,647,Maj-AL,Kansas City,29,26,2.0,14.0,,137.0,151,80,78,22,93,25,4,5.12,539,25,1,0,12,5,2,1,5,570,2141,0.64,0.18,0.07,0.44,0.25,0.05,1.263,0.296,6.1,4.23,425844,2023,425844,593,16.4,3.9,0.332,0.343,32.6,7.7,38.8,79.099913176,94.182767312,17.3,46.8
andrew heaney,32,648,Maj-AL,Texas,34,28,10.0,6.0,,147.1,143,74,68,60,151,23,10,4.15,569,34,2,0,13,2,11,3,0,641,2604,0.63,0.15,0.11,0.42,0.21,0.06,1.378,0.302,9.2,2.52,571760,2023,571760,641,23.6,9.4,0.335,0.327,31.4,10.2,38.6,80.118188846,94.263143438,26.5,48.2
kyle hendricks,33,649,Maj-NL,Chicago,24,24,6.0,8.0,,137.0,138,68,57,27,93,13,4,3.74,542,30,3,0,2,4,23,2,0,578,2108,0.66,0.19,0.09,0.47,0.23,0.08,1.204,0.284,6.1,3.44,543294,2023,543294,578,16.1,4.7,0.296,0.313,33.7,6.2,31.5,72.3316,93.059797773,21.1,46.7
rich hill,43,647,Maj-NL,"Pittsburgh,San Diego",32,27,8.0,14.0,,146.1,165,98,88,58,129,23,7,5.41,587,44,4,0,11,4,25,2,1,660,2531,0.65,0.2,0.08,0.39,0.28,0.08,1.524,0.323,7.9,2.22,448179,2023,448179,660,19.5,8.8,0.359,0.36,37.3,10.1,39.9,78.850617598,94.135267838,19.3,45.4
jake irvin,26,657,Maj-NL,Washington,24,24,3.0,7.0,,121.0,118,66,62,54,99,20,8,4.61,462,17,2,0,15,6,5,0,1,530,2147,0.62,0.19,0.07,0.42,0.21,0.07,1.421,0.281,7.4,1.83,663623,2023,663623,530,18.7,10.2,0.335,0.344,33.1,10.3,39.6,80.193214837,94.671824251,17.9,43.7
cristian javier,26,647,Maj-AL,Houston,30,30,10.0,5.0,,157.0,135,82,79,61,153,25,7,4.53,589,29,4,0,7,6,20,3,3,664,2802,0.61,0.14,0.11,0.26,0.24,0.11,1.248,0.264,8.8,2.51,664299,2023,664299,687,23.1,9.0,0.317,0.323,38.1,9.4,38.3,78.877175219,93.876231451,27.1,48.0
mitch keller,27,652,Maj-NL,Pittsburgh,31,31,13.0,9.0,,189.2,182,93,87,51,202,24,12,4.13,733,38,1,0,14,5,12,2,2,802,3021,0.67,0.19,0.1,0.44,0.25,0.05,1.228,0.309,9.6,3.96,656605,2023,656605,825,25.5,6.7,0.31,0.315,36.5,8.6,35.6,75.953749524,93.735176239,23.2,47.8
merrill kelly,34,648,Maj-NL,Arizona,29,29,12.0,8.0,,174.0,140,71,65,65,183,20,4,3.36,632,29,3,0,19,3,13,3,4,705,2733,0.65,0.16,0.12,0.46,0.24,0.07,1.178,0.278,9.5,2.82,518876,2023,518876,721,25.9,9.4,0.294,0.312,35.1,7.8,41.8,78.631396856,94.559456681,27.0,49.1
clayton kershaw,35,648,Maj-NL,Los Angeles,24,24,13.0,5.0,,131.2,100,39,36,40,137,19,3,2.46,479,19,0,0,16,1,6,4,1,523,2026,0.66,0.16,0.13,0.48,0.22,0.07,1.063,0.25,9.4,3.43,477132,2023,477132,523,26.2,7.6,0.28,0.3,34.7,9.0,39.1,77.970437953,94.209900469,28.1,49.6
