"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Cannon, Jonathan",686563,2025,295,18.6,8.1,".346",".348",34.4,10.4,46.2,"79.16178419","95.02363919",20.3,47.6
"Stone, Gavin",694813,2024,580,20,6.4,".304",".306",32.5,6.4,36.2,"77.107440095","93.702925548",24.7,50.4
"Gray, Sonny",543243,2024,671,30.3,5.8,".292",".296",38.1,8.9,37.9,"79.276406538","94.211961253",29.8,48.7
"Glasnow, Tyler",607192,2024,522,32.2,6.7,".258",".254",32.5,8.5,40.1,"78.136298153","94.139426422",30.9,48.4
"Bibee, Tanner",676440,2024,710,26.3,6.2,".299",".300",37.4,7,36.9,"77.504108675","93.719329103",26.9,51
"Smith, Shane",681343,2025,346,21.4,10.1,".305",".332",35.5,6.6,45.2,"78.44898875","95.378832321",27.2,48.6
"Valdez, Framber",664285,2025,439,24.6,8.9,".276",".315",27.8,6.9,47.6,"79.831546643","95.413615544",26.6,47.1
"Castillo, Luis",622491,2025,407,19.4,7.9,".314",".348",36.1,11.2,46.6,"79.145037671","95.131903185",24.6,50.7
"Lugo, Seth",607625,2025,352,21.6,8,".285",".345",32.2,8.6,47.3,"80.45654281","95.085054232",21.3,44.8
"Skubal, Tarik",669373,2025,413,33.4,3.4,".226",".256",36.8,7,32.2,"73.46189","93.044556211",33.3,55.1
"Mize, Casey",663554,2025,327,21.1,5.8,".300",".293",34.3,8.4,40.2,"79.161893277","94.228510126",24.4,50
"Canning, Griffin",656288,2024,739,17.6,8.9,".341",".334",32.4,8.6,41.9,"80.443886517","94.700505891",24.5,48.4
"Martin, Davis",663436,2025,334,15.9,5.7,".330",".369",35.3,10.5,46.1,"80.145642481","95.472647977",21.1,49.2
"Eflin, Zach",621107,2025,269,15.6,4.1,".388",".331",33.2,8.9,39.7,"78.793188857","94.389965286",20.9,49.7
"Skubal, Tarik",669373,2024,753,30.3,4.6,".246",".257",33.1,6.7,33.9,"76.236530506","93.34039981",31.9,51.8
