Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Griffin Canning,29,0,Maj-NL,New York,6,6,2.0,2.0,,26.1,25,19,16,14,23,2,0,5.47,103,7,0,0,1,0,0,0,1,118,485,0.61,0.16,0.1,0.47,0.25,0.02,1.481,0.295,7.9,1.64,656288
Jonathan Cannon,24,24,Maj-AL,Chicago,1,1,,1.0,,3.0,4,5,5,3,5,3,0,15.0,13,0,0,0,0,0,1,0,0,16,85,0.53,0.13,0.11,0.13,0.13,0.0,2.333,0.2,15.0,1.67,686563
Ben Casparius,26,4,Maj-NL,Los Angeles,6,1,2.0,1.0,,17.1,17,8,8,5,9,2,0,4.15,68,3,0,0,0,0,0,0,0,74,263,0.63,0.14,0.1,0.38,0.18,0.15,1.269,0.263,4.7,1.8,676508
Luis Castillo,32,2,Maj-AL,Seattle,5,5,,2.0,,28.0,25,16,14,9,25,8,1,4.5,106,6,0,0,4,0,1,1,0,116,468,0.65,0.14,0.13,0.41,0.23,0.07,1.214,0.233,8.0,2.78,622491
Dylan Cease,29,5,Maj-NL,San Diego,5,5,2.0,3.0,,28.1,26,13,13,13,37,1,2,4.13,110,9,0,0,0,1,4,0,0,126,501,0.64,0.14,0.18,0.36,0.27,0.07,1.376,0.342,11.8,2.85,656302
Slade Cecconi,26,4,Maj-AL,Cleveland,5,5,2.0,2.0,,26.1,26,10,10,10,23,4,2,3.42,100,3,0,1,3,0,1,0,1,113,414,0.64,0.17,0.11,0.36,0.24,0.06,1.367,0.301,7.9,2.3,677944
Aaron Civale,30,5,"Maj-AL,Maj-NL","Chicago,Milwaukee",4,4,1.0,3.0,,22.0,27,11,11,8,16,3,1,4.5,88,5,0,0,3,1,0,0,0,99,366,0.65,0.19,0.09,0.36,0.24,0.08,1.591,0.343,6.5,2.0,650644
Patrick Corbin,35,3,Maj-AL,Texas,5,5,1.0,4.0,,28.1,29,16,16,7,21,3,0,5.08,112,6,0,0,0,1,1,1,1,120,426,0.65,0.18,0.11,0.4,0.27,0.07,1.271,0.292,6.7,3.0,571578
Danny Coulombe,35,0,Maj-AL,Minnesota,8,1,,,,5.0,6,2,2,3,5,0,0,3.6,20,1,0,0,0,0,0,1,1,23,82,0.72,0.15,0.12,0.6,0.27,0.07,1.8,0.4,9.0,1.67,543056
Garrett Crochet,26,2,Maj-AL,Boston,5,5,3.0,,,34.1,24,8,8,7,46,3,0,2.1,124,5,0,0,3,0,3,0,0,132,515,0.68,0.15,0.15,0.51,0.18,0.03,0.903,0.28,12.1,6.57,676979
